Title,Status,Tags,"Sign date","Sign year","Counterpart (original)","Counterpart ISO","Counterpart SPA","Counterpart ENG","Region SPA","Region ENG"
"Convención de Amistad, Auxilio y Comercio entre las Exmas. Juntas Gubernativas de Buenos Aires y del Paraguay",,"Comercio
Conflictos armados
Cooperación
Defensa y Seguridad
Impuestos
Productos básicos",12/10/1811,1811,Paraguay,PRY,Paraguay,Paraguay,América,America
"Tratado de Pacificación entre la Exma. Junta Ejecutiva de Buenos-Aires y el Exmo.Sr. Virrey D.Francisco Xavier Elio",,"Conflictos armados
Pacificación
Soberanía
Tratados",20/10/1811,1811,España,ESP,España,Spain,Europa,Europe
"Tratado de Armisticio entre el Gobierno Provisional de las Provincias Unidas del Río de la Plata y el Príncipe Regente del Reino de Portugal.",,"Conflictos armados
Pacificación
Provincias argentinas
Tratados",26/05/1812,1812,Portugal,PRT,Portugal,Portugal,Europa,Europe
"Contrata celebrada entre la Junta Gubernativa de las Provincias Unidas del Río de la Plata y la del Reino de Chile para el Intercambio de Azogue por Pólvora",Extinguido,"Comercio
Defensa y Seguridad
Minería
Provincias argentinas",23/10/1812,1812,Chile,CHL,Chile,Chile,América,America
"Capitulación de la Vanguardia del Ejército del Perú entre la República Argentina y España.",,"Conflictos armados
Fuerzas Armadas
Soberanía",20/02/1813,1813,España,ESP,España,Spain,Europa,Europe
"Armisticio entre el General en Jefe del Ejército auxiliar del Perú Manuel Belgrano y el General Goyeneche",,"Conflictos armados
Pacificación
Soberanía",10/03/1813,1813,España,ESP,España,Spain,Europa,Europe
"Capitulación de la Plaza de Montevideo entre la República Argentina y España.",,"Conflictos armados
Soberanía",20/06/1814,1814,España,ESP,España,Spain,Europa,Europe
"Capitulación de la Guarnición de Tarija entre la República Argentina y España.",,"Conflictos armados
Soberanía",15/04/1817,1817,España,ESP,España,Spain,Europa,Europe
"Tratado particular entre el Estado de Chile y las Provincias Unidas del Río de la Plata para liberar al Perú",Extinguido,"Defensa y Seguridad
Provincias argentinas
Soberanía",05/02/1819,1819,Chile,CHL,Chile,Chile,América,America
"Convenio sobre sostén de inválidos del ejército de los Andes inutilizados en funciones de guerra","No está en vigor","Defensa
Derecho Internacional Humanitario",14/04/1819,1819,Chile,CHL,Chile,Chile,América,America
"Armisticio entre el General San Martín y el Virrey Pezuela",,"Conflictos armados
Pacificación
Soberanía",26/09/1820,1820,España,ESP,España,Spain,Europa,Europe
"Armisticio entre el General San Martín y De La Serna",,Pacificación,23/05/1821,1821,España,ESP,España,Spain,Europa,Europe
"Armisticio firmado por los Jefes de Salta y del Ejército Realista",,"Conflictos armados
Pacificación
Soberanía",14/07/1821,1821,España,ESP,España,Spain,Europa,Europe
"Capitulación de la Plaza del Callao, acordado entre el Protector del Perú Gral. San Martín y el Gobernador de la Plaza del Callao, Mscal. de Campo José de la Mar",,"Conflictos armados
Soberanía",19/09/1821,1821,España,ESP,España,Spain,Europa,Europe
"Convenio para el suministro por la Pcia. de San Juan de 100 hombres armados para el Ejército del Gral. San Martín entre el gobernador de Cuyo y el Protector del Perú y su gobierno independiente.","No está en vigor","Fuerzas Armadas
Pacificación",10/07/1822,1822,Perú,PER,Perú,Peru,América,America
"Convención de paz y buena armonía concluida entre los Gobiernos de Entre Ríos y Montevideo, y antecedentes de la misma",,"Cooperación
Defensa
Soberanía
Territorio",11/12/1822,1822,Brasil,BRA,Brasil,Brazil,América,America
"Tratado de Amistad y Alianza entre el Estado de Buenos Aires y la República de Colombia",Vigente,"Amistad
Relaciones Internacionales",08/03/1823,1823,Colombia,COL,Colombia,Colombia,América,America
"Tratado de alianza ofensiva y defensiva entre el Gobierno de la Provincia de Santa Fe y el Cabildo Representante de Montevideo para rechazar a los brasileños que se habían apoderado de territorio oriental",Vigente,"Cooperación
Defensa
Fronteras
Fuerzas Armadas
Provincias argentinas
Seguridad",14/03/1823,1823,Uruguay,URY,Uruguay,Uruguay,América,America
"Convención preliminar de Paz entre el Gobierno de S.M.C. y el Estado de Buenos Aires",Vigente,"Conflictos armados
Pacificación
Soberanía",04/07/1823,1823,España,ESP,España,Spain,Europa,Europe
"Intrumento Unilateral  Británico para el Establecimiento de Relaciones Amistosas con el Gobierno de Buenos Aires y para la Designación de un Cónsul General",,"Reconocimiento de Estados",15/12/1823,1823,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Acuerdo de Amistad, Comercio y Navegación entre las Provincias Unidas del Río de la Plata y su Majestad Británica.",Vigente,"Amistad
Comercio
Provincias argentinas
Transporte por agua
Tratados",02/02/1825,1825,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Nota del Gobierno de Australia aceptando el Tratado de Amistad, Comercio y Navegación firmado por las Provincias Unidas del Río de La Plata y Gran Bretaña",Vigente,"Amistad
Comercio
Provincias argentinas",02/02/1825,1825,Australia,AUS,Australia,Australia,"Asia y Oceanía","Asia and Oceania"
"Tratado de Amistad, Comercio y Navegación entre el Reino Unido y las Provincias Unidas del Río de la Plata",Vigente,"Amistad
Comercio
Provincias argentinas
Transporte por agua",02/02/1825,1825,Canadá,CAN,Canadá,Canada,América,America
"Tratado de Amistad, Comercio y Navegación entre el Reino Unido y las Provincias Unidas del Río de la Plata  (y notas del 28/08/1970 y 1/04/1971)",Vigente,"Amistad
Comercio
Provincias argentinas
Transporte por agua",02/02/1825,1825,Sudáfrica,ZAF,Sudáfrica,"South Africa","África y Medio Oriente","Africa and Middle East"
"Tratado de Amistad, Comercio y Navegación entre la República Argentina y el Reino Unido de Gran Bretaña e Irlanda del Norte.",Extinguido,"Amistad
Comercio",02/02/1825,1825,Kenia,KEN,Kenya,Kenya,"África y Medio Oriente","Africa and Middle East"
"Tratado de amistad, alianza, comercio y navegación entre la República de las Provincias Unidas del Río de la Plata y Chile","No está en vigor","Amistad
Buques
Colonialismo
Comercio
Defensa
Provincias argentinas
Soberanía
Transporte por agua",20/11/1826,1826,Chile,CHL,Chile,Chile,América,America
"Memorándum de las Conferencias de los días 1°, 12 y 14 de abril de 1827 entre representantes de la República Argentina, el Imperio de Brasil y su Majestad Británica.",,"Soberanía
Territorio",14/04/1827,1827,Brasil,BRA,Brasil,Brazil,América,America
"Memorándum de las conferencias mantenidas entre el Ministro de Negocios Extranjeros argentino y el Ministro Plenipotenciario de Gran Bretaña sobre bases para una paz argentino-brasileña",,"Conferencias
Pacificación",14/04/1827,1827,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Acuerdo sobre reconocimiento de la independencia entre la República de las Provincias Unidas del Río de la Plata y el Emperador del Brasil",,"Defensa
Provincias argentinas
Soberanía
Territorio",24/05/1827,1827,Brasil,BRA,Brasil,Brazil,América,America
"Artículo adicional acerca del uso de los ríos de la Plata y sus afluentes de acuerdo con el Tratado de Paz de la misma fecha (entre las Provincias Unidas del Río de la Plata y el emperador del Brasil)",,"Libre circulación
Provincias argentinas
Ríos Internacionales
Transporte por agua",27/08/1828,1828,Brasil,BRA,Brasil,Brazil,América,America
