DBH	THT	AGE	CL	CR	VOLUME	REGION
11.1	95.7	73	25.9	0.3	31.2	1
9.1	78.4	48	15.2	0.2	17.3	1
18.6	101.4	67	38.7	0.4	84.9	1
13.3	103.1	65	38.3	0.4	47.4	1
11.3	100.9	67	37.2	0.4	32.4	1
19	108.3	60	45.8	0.4	104.1	1
15.2	99.9	67	28.5	0.3	56.3	1
7.6	72.5	59	15.9	0.2	10.4	1
12.5	99.7	68	29.9	0.3	41.1	1
8.2	75	57	21.7	0.3	12.5	1
9.4	92.4	60	30.7	0.3	20.4	1
16.6	106.1	78	37.4	0.4	74.3	1
13	96.3	67	30.3	0.3	40.1	1
14.4	102.9	62	35.4	0.3	52.5	1
8.3	61.8	48	24.5	0.4	8.6	1
8.9	83.1	66	21.8	0.3	17.5	1
10.2	89.3	59	37.8	0.4	25.1	1
14.3	97.3	65	36.1	0.4	53.3	1
10.3	78.8	60	13.1	0.2	18.3	1
16.2	93.1	68	40.4	0.4	49.3	1
15	103.2	64	47.2	0.5	64.3	1
17.5	80.1	67	23.0	0.3	76.1	1
17.9	126.2	69	52.0	0.4	92.1	2
22.1	110.5	70	55.0	0.5	121.6	2
13.7	90.4	48	44.4	0.5	45.9	2
12.3	90.4	46	39.9	0.4	32.2	2
14.7	92.3	47	36.3	0.4	49.1	2
17	96.3	60	52.1	0.5	71.4	2
10.1	80.9	45	29.1	0.4	20.4	2
9.5	80.8	44	28.5	0.4	16.5	2
15.1	89	66	30.2	0.3	44.1	2
12.5	82.7	45	30.1	0.4	23.8	2
6.8	66	40	32.8	0.5	7.8	2
13.6	97.4	67	36.5	0.4	46.1	2
9.9	78.5	44	21.2	0.3	22.2	2
13.5	94.3	57	20.9	0.2	45.6	2
13	97.4	50	23.2	0.2	27.5	2
14.7	99.8	51	43.2	0.4	53.2	2
14.5	98.2	71	37.0	0.4	55.1	2
21.1	95.2	57	36.4	0.4	104.9	2
8.4	90	54	28.4	0.3	16.6	1
8.9	90.4	55	28.6	0.3	15.8	1
8.9	94.7	60	33.9	0.4	17.8	1
10.7	93.4	58	33.1	0.4	25.4	1
